,age-group,occupation,Company Name,city,zipcode,Education,Specialization,Job,Career Development,Personal Growth,Educational Content,Healthcare
0,20-25,Data Analyst,Harris PLC,South Autumnborough,82734,Mtech,Mathematics,0,1,1,1,0
1,35-40,Software Engineer,Wheeler-Deleon,New Logan,22768,BTech,Computer Science,0,0,0,0,1
2,35-40,Architect,Jones Ltd,Sandramouth,49391,BArch,architecture,1,1,0,0,1
3,35-40,Teacher,"Pace, Garrison and Li",Danielberg,12099,B. ED,literature,0,1,1,1,0
4,20-25,Quality Assurance Analyst,Martinez LLC,Port Robertobury,47140,MS,IT,0,0,1,0,1
5,35-40,Student,Watkins university,North Jessica,43059,BE,mechanical engineering,1,1,1,1,1
6,40-45,Entrepreneur,"Rubio, Rice and Harrington",Justinport,95938,Diploma,business administration,0,0,1,1,0
7,25-30,Nurse,Nelson LLC,Karenburgh,40716,BSN,healthcare,1,1,0,1,0
8,35-40,Research Assistant,Ramirez PLC,East Paultown,89299,MS,Biology,0,0,1,0,1
9,20-25,Entrepreneur,Smith-Love,Port Sharonburgh,67735,BBA,management,1,0,0,1,0
10,25-30,Research Assistant,"Gonzales, Thompson and Gibson",Gregburgh,35283,Mtech,electrical engineering,0,0,0,1,0
11,40-45,Nurse,Wilson Group,Martinezport,63587,BSN,healthcare,0,0,1,1,1
12,20-25,Psychologist,Smith-Mahoney,Greentown,80700,BA,psychology,0,0,0,1,0
13,40-45,Data Analyst,Clayton LLC,Crawfordtown,91796,BTech,mechanical engineering,0,1,1,1,0
14,35-40,Journalist,Williams-Mack,Cookeberg,80050,BJMC,mass communication,1,1,1,1,0
15,40-45,Entrepreneur,Smith PLC,Masontown,53923,MBA,management,0,0,1,1,0
16,40-45,Student,Wilson-Clark university,South Tammyshire,26495,BBA,marketing,0,1,0,0,1
17,30-35,Social Worker,"Ramirez, Ibarra and Carr",South Rachel,19774,BA,economics,1,0,1,0,1
18,35-40,Financial Analyst,"Banks, Ford and Barber",Espinozamouth,92073,BA,economics,1,0,0,0,1
19,35-40,Product Manager,Cole Inc,North Damonburgh,72058,BTech,Computer Science,0,0,0,1,1
20,30-35,Social Worker,"Bennett, Patel and Nguyen",West Steventown,89760,Diploma,philosophy,0,1,0,0,1
